event_type,canonical_regime,canonical_family,default_executable,detector,enabled,tags,instrument_classes,sequence_eligible,subtype,phase,evidence_mode,layer,disposition,asset_scope,venue_scope,research_only,strategy_only,is_composite,is_context_tag,is_strategy_construct,deconflict_priority,reports_dir,events_file,signal_column,templates,horizons,conditioning_cols,max_candidates_per_run,threshold_parameters
ABSORPTION_PROXY,LIQUIDITY_STRESS,LIQUIDITY_DISLOCATION,True,AbsorptionProxyDetector,True,,,True,absorption,persistence,hybrid,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,liquidity_dislocation,liquidity_dislocation_events.parquet,absorption_proxy_event,mean_reversion|stop_run_repair|overshoot_repair|only_if_liquidity|slippage_aware_filter,15m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,600,"{""cooldown_bars"": 96, ""imbalance_abs_quantile"": 0.25, ""merge_gap_bars"": 0, ""min_history_bars"": 288, ""min_occurrences"": 0, ""rv_quantile"": 0.9, ""spread_quantile"": 0.965, ""window"": 288}"
BAND_BREAK,STATISTICAL_STRETCH_OVERSHOOT,STATISTICAL_DISLOCATION,True,BandBreakDetector,True,statistical_stretch,crypto|futures,True,band_break,breakout,statistical,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,statistical_dislocation,statistical_dislocation_events.parquet,band_break_event,mean_reversion|overshoot_repair|tail_risk_avoid,15m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,350,"{""band_z_threshold"": 3.0, ""cooldown_bars"": 12, ""lookback_window"": 288, ""merge_gap_bars"": 0, ""min_occurrences"": 0}"
BASIS_DISLOC,BASIS_FUNDING_DISLOCATION,STATISTICAL_DISLOCATION,True,BasisDislocationDetector,True,basis_dislocation,crypto|futures,True,basis_dislocation,shock,statistical,canonical,merge,single_asset,cross_venue,False,False,False,False,False,0,basis_dislocation,basis_dislocation_events.parquet,basis_dislocation_event,mean_reversion|overshoot_repair|tail_risk_avoid,15m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,350,"{""cooldown_bars"": 12, ""lookback_window"": 288, ""merge_gap_bars"": 1, ""min_basis_bps"": 10.0, ""min_occurrences"": 0, ""z_threshold"": 5.0}"
BETA_SPIKE_EVENT,REGIME_TRANSITION,REGIME_TRANSITION,True,BetaSpikeDetector,True,regime_shift,crypto|futures,True,beta_spike,transition,inferred_cross_asset,canonical,keep,cross_asset,multi_venue,False,False,False,False,False,0,regime_transition,regime_transition_events.parquet,beta_spike_event,only_if_regime|continuation|mean_reversion|drawdown_filter|tail_risk_avoid,60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,350,"{""cooldown_bars"": 48, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""regime_window"": 288, ""transition_z_threshold"": 2.5}"
BREAKOUT_TRIGGER,VOLATILITY_RELAXATION_COMPRESSION_RELEASE,VOLATILITY_TRANSITION,True,BreakoutTriggerDetector,True,vol_regime|trend_momentum,crypto|futures,True,breakout_trigger,breakout,hybrid,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,volatility_transition,volatility_transition_events.parquet,breakout_trigger_event,mean_reversion|continuation|trend_continuation|volatility_expansion_follow|pullback_entry|only_if_regime,60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,"{""compression_ratio_max"": 0.8, ""compression_window"": 6, ""cooldown_bars"": 12, ""expansion_quantile"": 0.85, ""merge_gap_bars"": 0, ""min_breakout_distance"": 0.0015, ""min_occurrences"": 0, ""vol_lookback_window"": 96}"
CHOP_TO_TREND_SHIFT,REGIME_TRANSITION,REGIME_TRANSITION,True,ChopToTrendDetector,True,regime_shift|trend_momentum,crypto|futures,True,chop_to_trend,transition,hybrid,canonical,keep,single_asset,single_venue,False,False,False,False,False,0,regime_transition,regime_transition_events.parquet,chop_to_trend_shift_event,only_if_regime|continuation|mean_reversion|drawdown_filter|tail_risk_avoid,60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,350,"{""cooldown_bars"": 48, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""regime_window"": 288, ""transition_z_threshold"": 2.5}"
CLIMAX_VOLUME_BAR,TREND_FAILURE_EXHAUSTION,FORCED_FLOW_AND_EXHAUSTION,True,ClimaxVolumeDetector,True,exhaustion|high_urgency,crypto|futures,True,climax_volume,exhaustion,hybrid,canonical,merge,single_asset,single_venue,False,False,False,False,False,0,forced_flow_and_exhaustion,forced_flow_and_exhaustion_events.parquet,climax_volume_bar_event,,60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,500,"{""cascade_window_bars"": 12, ""cooldown_bars"": 48, ""liquidation_spike_z_threshold"": 3.0, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""range_quantile"": 0.995, ""ret_quantile"": 0.998, ""vol_quantile"": 0.992}"
COPULA_PAIRS_TRADING,STATISTICAL_STRETCH_OVERSHOOT,STATISTICAL_DISLOCATION,False,CopulaPairsTradingDetector,True,basis_dislocation,crypto|futures,True,copula_pairs_trading,strategy,statistical,strategy_construct,demote,cross_asset,multi_venue,False,True,False,False,True,0,copula_pairs,copula_pairs_events.parquet,copula_pairs_trading_event,mean_reversion|overshoot_repair|tail_risk_avoid,15m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,350,"{""cooldown_bars"": 12, ""lookback_window"": 288, ""merge_gap_bars"": 1, ""min_occurrences"": 0}"
CORRELATION_BREAKDOWN_EVENT,REGIME_TRANSITION,REGIME_TRANSITION,True,CorrelationBreakdownDetector,True,regime_shift,crypto|futures,True,correlation_breakdown,transition,inferred_cross_asset,canonical,keep,cross_asset,multi_venue,False,False,False,False,False,0,regime_transition,regime_transition_events.parquet,correlation_breakdown_event,only_if_regime|continuation|mean_reversion|drawdown_filter|tail_risk_avoid,60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,350,"{""cooldown_bars"": 48, ""merge_gap_bars"": 0, ""min_occurrences"": 0, ""regime_window"": 288, ""transition_z_threshold"": 2.5}"
CROSS_ASSET_DESYNC_EVENT,CROSS_ASSET_DESYNCHRONIZATION,INFORMATION_DESYNC,True,CrossAssetDesyncDetector,True,desync,crypto|futures,True,cross_asset_desync,divergence,inferred_cross_asset,canonical,keep,cross_asset,multi_venue,False,False,False,False,False,0,cross_asset_desync_event,cross_asset_desync_event_events.parquet,cross_asset_desync_event,desync_repair|convergence|basis_repair|lead_lag_follow|divergence_continuation,5m|15m|60m,vol_regime|carry_state|funding_bps|ms_trend_state|ms_spread_state|severity_bucket,600,"{""cooldown_bars"": 24, ""lookback_window"": 2880, ""merge_gap_bars"": 1, ""min_occurrences"": 0, ""min_pair_observations"": 96, ""threshold_z"": 3.0}"
